Japanese,English,Reading
ジョーカー,joker,ジョーカー
ジョーク,joke,ジョーク
ジョーズ,man-eating shark,ジョーズ
ジョーゼット,georgette,ジョーゼット
ジョーボニング,jawboning,ジョーボニング
ジョイ,joy,ジョイ
ジョイスティック,joy stick,ジョイスティック
ジョイフル,joyful,ジョイフル
ジョイント,joint,ジョイント
ジョイントコンサート,joint concert,ジョイントコンサート
ジョイントベンチャー,joint venture,ジョイントベンチャー
ジョガー,jogger,ジョガー
ジョギング,jogging,ジョギング
ジョグ,jog,ジョグ
ジョッキ,beer mug,ジョッキ
ジョッパーズ,jodhpurs,ジョッパーズ
ジョブ,job,ジョブ
ジョブエンラージメント,job enlargement,ジョブエンラージメント
ジョブエンリッチメント,job enrichment,ジョブエンリッチメント
ジョブタイトル,job title,ジョブタイトル
ジョブホッパー,job-hopper,ジョブホッパー
ジョブメニュー,job menu,ジョブメニュー
ジョブローテーション,job rotation,ジョブローテーション
ジョンブル,John Bull,ジョンブル
ジラフ,giraffe,ジラフ
ジルコニウム,zirconium (Zr),ジルコニウム
ジルバ,jitterbug,ジルバ
ジレ,gilet,ジレ
ジレンマ,dilemma,ジレンマ
ジワジワ,slowly (but steadily),ジワジワ
ジン,gin,ジン
成吉思汗,jingisukan,ジンギスかん
ジンクス,jinx,ジンクス
ジンゴイズム,jingoism,ジンゴイズム
ジンジャー,ginger,ジンジャー
ジンジャーエール,ginger ale,ジンジャーエール
ジンジャントロプス,Zinjanthropus (early man),ジンジャントロプス
ジンテーゼ,synthesis,ジンテーゼ
ジンバブエ,Zimbabwe,ジンバブエ
ジンフィズ,gin fizz,ジンフィズ
スーツ,suit (clothing),スーツ
スーツケース,suitcase,スーツケース
スーパー,supermarket,スーパー
スーパーインポーズ,subtitles,スーパーインポーズ
スーパーウーファー,super woofer,スーパーウーファー
スーパーウーマン,superwoman,スーパーウーマン
スーパーカー,supercar,スーパーカー
スーパーコンピュータ,supercomputer,スーパーコンピュータ
スーパーサイズ,super-size,スーパーサイズ
スーパーショットキーダイオード,super Schottky diode,スーパーショットキーダイオード
スーパージェット,superjet,スーパージェット
スーパースコープ,super size wide screen,スーパースコープ
スーパースター,superstar,スーパースター
スーパーステーション,superstation,スーパーステーション
スーパーストア,superstore,スーパーストア
スーパーソニック,supersonic,スーパーソニック
スーパータンカー,supertanker,スーパータンカー
スーパーチェーン,supermarket chain,スーパーチェーン
スーパーチャージャー,supercharger,スーパーチャージャー
スーパーハイウェー,superhighway,スーパーハイウェー
スーパーハイデッカー,super high decker,スーパーハイデッカー
スーパーバイザー,supervisor,スーパーバイザー
スーパーボウル,Super Bowl,スーパーボウル
スーパーマーケット,supermarket,スーパーマーケット
スーパーマウス,super mouse,スーパーマウス
スーパーマン,superman,スーパーマン
スーパーミニコン,super minicomputer,スーパーミニコン
スーパーユーザ,super user,スーパーユーザ
スーパーリアリズム,superrealism,スーパーリアリズム
スーパーレディー,superwoman,スーパーレディー
スーフィー,Sufi (practitioner of Sufism),スーフィー
スーブニール,souvenir,スーブニール
スープ,(Western) soup,スープ
スーベニア,souvenir,スーベニア
スーベニアショップ,souvenir shop,スーベニアショップ
スイート,sweet (flavour),スイート
スイートコーン,sweet corn,スイートコーン
スイートスポット,sweet spot,スイートスポット
スイートハート,sweetheart,スイートハート
スイートピー,sweet pea (Lathyrus odoratus),スイートピー
スイートホーム,loving home,スイートホーム
スイートポテト,small cake made from sweet potatoes,スイートポテト
スイートメロン,sweet melon,スイートメロン
スイートルーム,suite,スイートルーム
スイーパー,sweeper,スイーパー
スイープ,sweep,スイープ
瑞西,Switzerland,スイス
スイスラマ,Swissrama,スイスラマ
スイッチ,switch,スイッチ
スイッチバック,switchback (railway),スイッチバック
スイッチヒッター,switch-hitter,スイッチヒッター
スイッチング,switching,スイッチング
スイマー,swimmer,スイマー
スイミングクラブ,swimming club,スイミングクラブ
スイミングスクール,swimming school,スイミングスクール
スイミングトランクス,swimming trunks (male swimsuit),スイミングトランクス
スイミングパンツ,swimming trunks,スイミングパンツ
スインガー,swinger,スインガー
スインガーパーティー,swinger party,スインガーパーティー
スインギング,swinging,スインギング
スイング,"swing (of a golf club, tennis racket, etc.)",スイング
スイングアウト,swing out,スイングアウト
スイングドア,swing door,スイングドア
スウィープ,sweep,スウィープ
スウィッチ,switch,スウィッチ
スウィミング,swimming,スウィミング
スウェー,sway,スウェー
瑞典,Sweden,スウェーデン
スウェーデンリレー,Swedish relay (track-and-field event),スウェーデンリレー
スウェーデン語,Swedish (language),スウェーデンご
スエード,suede,スエード
スウェット,sweatshirt,スウェット
スカート,skirt,スカート
スカーフ,scarf (esp. a lightweight summer scarf worn by women),スカーフ
スカーレット,scarlet,スカーレット
スカイ,sky,スカイ
スカイジャック,skyjack,スカイジャック
スカイスクレーパー,skyscraper,スカイスクレーパー
スカイダイバー,skydiver,スカイダイバー
スカイダイビング,skydiving,スカイダイビング
スカイパーキング,multi-storey parking garage,スカイパーキング
スカイブルー,sky blue,スカイブルー
スカイメイト,student discount air ticket,スカイメイト
スカイラーク,skylark,スカイラーク
スカイライト,skylight,スカイライト
スカイライン,skyline,スカイライン
スカイラブ,Skylab,スカイラブ
スカイレストラン,restaurant at the top of a tall building,スカイレストラン
スカウト,(talent) scout,スカウト
スカッシュ,squash (drink),スカッシュ
スカッシング関数,squashing function,スカッシングかんすう
スカトロジー,scatology,スカトロジー
スカラー,scalar,スカラー
スカラシップ,scholarship,スカラシップ
スカラップ,scallop,スカラップ
スカラムーシュ,Scaramouche,スカラムーシュ
スカル,scull,スカル
スカルプチャー,sculpture,スカルプチャー
スカルプトリートメント,scalp treatment,スカルプトリートメント
スカンク,skunk (animal),スカンク
スカンジウム,scandium (Sc),スカンジウム
スカンピ,scampi (Nephrops norvegicus),スカンピ
スキー,skiing,スキー
スキーの板,ski,スキーのいた
スキーウェア,skiwear,スキーウェア
スキーツアー,ski tour,スキーツアー
スキーマ,schema,スキーマ
スキーム,scheme,スキーム
スキーヤー,skier,スキーヤー
スキーラック,ski rack,スキーラック
スキーリフト,ski lift,スキーリフト
スキー場,ski resort,スキーじょう
スキー用品,skiing equipment,スキーようひん
スキゾ,schizophrenia,スキゾ
スキット,skit,スキット
スキッドロー,skid row,スキッドロー
スキッパー,skipper,スキッパー
スキップ,skip (bounding forward with alternate hops on each foot),スキップ
スキニー,"skinny (jeans, etc.)",スキニー
スキムミルク,skim milk,スキムミルク
スキャット,scat (in jazz),スキャット
スキャナー,scanner,スキャナー
スキャニング,scanning,スキャニング
スキャン,scan,スキャン
スキャンダラス,scandalous,スキャンダラス
スキャンダル,scandal,スキャンダル
スキャンティ,scanties,スキャンティ
スキャンロン方式,Scanlon plan,スキャンロンほうしき
スキューバ,scuba,スキューバ
スキューバダイビング,scuba diving,スキューバダイビング
スキル,skill,スキル
スキルアップ,reskilling,スキルアップ
スキルインベントリーシステム,skills inventory system,スキルインベントリーシステム
スキルフル,skillful,スキルフル
スキン,skin,スキン
スキンクリーム,skin cream,スキンクリーム
スキンケア,skin care,スキンケア
スキンシップ,"physical contact (between friends, mother and child, etc.)",スキンシップ
スキンダイバー,skin diver,スキンダイバー
スキンダイビング,skin diving,スキンダイビング
スキンヘッズ,skinheads,スキンヘッズ
スキンレディ,door-to-door condom sales-lady,スキンレディ
スクーター,scooter,スクーター
スクーナー,schooner,スクーナー
スクープ,scoop,スクープ
スクーリング,schooling,スクーリング
スクール,school,スクール
スクールカラー,school color,スクールカラー
スクールゾーン,school zone,スクールゾーン
スクールバス,school bus,スクールバス
スクールメイト,schoolmate,スクールメイト
スクイズ,squeeze (play),スクイズ
スクイズバント,squeeze bunt,スクイズバント
スクイズプレー,squeeze play,スクイズプレー
スクエア,square (shape),スクエア
スクエアスタンス,square stance,スクエアスタンス
スクエアダンス,square dance,スクエアダンス
スクエアネックライン,square neckline,スクエアネックライン
スクラッチ,scratch,スクラッチ
スクラッチノイズ,scratch noise,スクラッチノイズ
スクラッチヒット,scratch hit,スクラッチヒット
スクラッチプレーヤー,scratch player,スクラッチプレーヤー
スクラッチマッチ,scratch match,スクラッチマッチ
スクラッチレース,scratch race,スクラッチレース
スクラップ,scrap,スクラップ
スクラップ＆ビルド,scrap and build,スクラップアンドビルド
スクラップブック,scrapbook,スクラップブック
スクラブ,(facial) scrub,スクラブ
スクラム,scrum (rugby),スクラム
スクラムハーフ,scrum half,スクラムハーフ
スクランブル,scramble,スクランブル
スクランブルエッグ,scrambled eggs,スクランブルエッグ
スクランブルレース,scramble race,スクランブルレース
スクリーニング,screening,スクリーニング
スクリーン,screen,スクリーン
スクリーントーン,screentone,スクリーントーン
スクリーンプレー,screen play,スクリーンプレー
スクリーンプロセス,screen process,スクリーンプロセス
スクリーンミュージック,screen music,スクリーンミュージック
スクリーンモード,screen mode,スクリーンモード
スクリプター,script supervisor,スクリプター
スクリプチャー,Scripture,スクリプチャー
スクリプト,"script (for a TV show, film, etc.)",スクリプト
スクリプトガール,script girl,スクリプトガール
スクリメージ,scrimmage (football),スクリメージ
スクリュー,screw,スクリュー
スクリュードライバー,screwdriver,スクリュードライバー
スクリュープロペラ,screw propeller,スクリュープロペラ
スクリューボール,screwball,スクリューボール
スクレーパー,scraper,スクレーパー
スクロース,sucrose,スクロース
スクロール,scroll,スクロール
スクワット,squat (exercise),スクワット
スケーター,skater,スケーター
スケーティング,skating,スケーティング
スケート,skating (esp. ice),スケート
スケートボード,skateboard,スケートボード
スケートリンク,ice skating rink,スケートリンク
スケープゴート,scapegoat,スケープゴート
スケーリング,scaling (e.g. in computer graphics),スケーリング
スケーリングファクター,scaling factor,スケーリングファクター
スケール,scale,スケール
スケールメリット,economy of scale,スケールメリット
スケジューラ,scheduler,スケジューラ
スケジューリング,scheduling,スケジューリング
スケジュール,schedule,スケジュール
スケッチ,sketch,スケッチ
スケッチブック,sketchbook,スケッチブック
スケッチホン,sketch phone,スケッチホン
スケプチシズム,skepticism,スケプチシズム
スケプティック,skeptic,スケプティック
スケボー,skateboard,スケボー
スケルツォ,scherzo,スケルツォ
スケルトン,"skeleton (of a vertebrate, ship, building, etc.)",スケルトン
スケ番,leader of a female gang,スケばん
スコーカー,squawker,スコーカー
スコーピング,scoping,スコーピング
スコープ,scope,スコープ
スコール,squall,スコール
スコア,score,スコア
スコアカード,scorecard,スコアカード
スコアブック,scorebook,スコアブック
スコアボード,scoreboard,スコアボード
スコアラー,scorer,スコアラー
スコアリングポジション,scoring position,スコアリングポジション
スコッチ,Scotch,スコッチ
スコッチウイスキー,Scotch whisky,スコッチウイスキー
スコッチエッグ,Scotch egg,スコッチエッグ
スコッチツイード,Scotch tweed,スコッチツイード
スコッチテリア,Scottish terrier (dog breed),スコッチテリア
蘇格蘭,Scotland,スコットランド
スコットランドヤード,Scotland Yard,スコットランドヤード
スコップ,shovel,スコップ
スコトフォビン,scotophobin,スコトフォビン
スコボフィリア,scopophilia,スコボフィリア
スコポラミン,scopolamine,スコポラミン
スター,"star (cinema, sports, etc.)",スター
スターウォッチング,star watching,スターウォッチング
スターガイド,star guide,スターガイド
スターキング,star king,スターキング
スターサファイア,star sapphire,スターサファイア
スターシステム,star system,スターシステム
スターズアンドストライプス,Stars and Stripes (US flag),スターズアンドストライプス
スターター,starter (person who gives the signal for the start of a race),スターター
スターダスト,stardust,スターダスト
スターダム,stardom,スターダム
スターチ,starch,スターチ
スターティングピッチャー,starting pitcher,スターティングピッチャー
スターティングブロック,starting block,スターティングブロック
スターティングメンバー,starting lineup,スターティングメンバー
スターティングラインアップ,starting lineup,スターティングラインアップ
スタート,start,スタート
スタートダッシュ,dash at the beginning of a short-distance race,スタートダッシュ
スタートライン,starting line,スタートライン
スタープレイヤー,star player,スタープレイヤー
スターライト,starlight,スターライト
スターリニズム,Stalinism,スターリニズム
スターリングエンジン,Sterling engine,スターリングエンジン
スターリングブロック,Sterling block,スターリングブロック
スターレット,starlet,スターレット
スタイミー,situation in which there is an obstacle (e.g. a tree) between the ball and the green,スタイミー
スタイラス,stylus,スタイラス
スタイリスト,stylist,スタイリスト
スタイリッシュ,stylish,スタイリッシュ
スタイリング,styling,スタイリング
スタイル,(one's) figure,スタイル
スタイルファイル,style file,スタイルファイル
スタイルブック,stylebook,スタイルブック
スタウト,stout,スタウト
スタグフレーション,stagflation,スタグフレーション
スタジアム,stadium,スタジアム
スタジアムジャンパー,college jacket,スタジアムジャンパー
スタジオ,studio,スタジオ
スタジャン,college jacket,スタジャン
スタチュー,statue,スタチュー
スタッカート,staccato,スタッカート
スタック,stack,スタック
スタックウェア,stackware,スタックウェア
スタックオブジェクト,stack-object,スタックオブジェクト
スタックパーマ,stacking permanent wave,スタックパーマ
スタックポインタ,stack-pointer,スタックポインタ
スタッグパーティー,stag party,スタッグパーティー
スタッグフィルム,stag film,スタッグフィルム
スタッドレスタイヤ,studless winter tire (tyre),スタッドレスタイヤ
スタッフ,staff,スタッフ
スタッフドエッグ,stuffed egg,スタッフドエッグ
スタティスティックス,statistics,スタティスティックス
スタティック,static,スタティック
スタディー,study,スタディー
スタビライザー,stabilizer,スタビライザー
スタビリティー,stability,スタビリティー
スタブ,stub,スタブ
スタミナ,stamina,スタミナ
スタメン,starting lineup,スタメン
スタンガン,stun gun,スタンガン
スタンザ,stanza,スタンザ
スタンス,stance,スタンス
スタンダーズ,standards,スタンダーズ
スタンダード,standard,スタンダード
スタンダードナンバー,standard number,スタンダードナンバー
スタンディングウェーブ,standing wave,スタンディングウェーブ
スタンディングスタート,"standing start (running, motorsports)",スタンディングスタート
スタントカー,stunt car,スタントカー
スタントマン,stuntman,スタントマン
スタンド,stands,スタンド
スタンドイン,stand-in,スタンドイン
スタンドオフ,standoff,スタンドオフ
スタンドカラー,stand-up collar,スタンドカラー
スタンドバー,bar,スタンドバー
スタンドプレー,grandstand play,スタンドプレー
スタンドポイント,standpoint,スタンドポイント
スタンバイ,standby,スタンバイ
スタンフォード,Stanford,スタンフォード
スタンプ,stamp,スタンプ
スタンプコレクション,stamp collection,スタンプコレクション
スチーム,steam,スチーム
スチームアイロン,steam iron,スチームアイロン
スチームエンジン,steam engine,スチームエンジン
スチームタービン,steam turbine,スチームタービン
スチームハンマー,steam hammer,スチームハンマー
スチームバス,steam bath,スチームバス
スチームヒーター,steam heater,スチームヒーター
スチール,steel,スチール
スチールカラー,steel collar worker,スチールカラー
スチールギター,steel guitar,スチールギター
スチールサッシ,steel sash,スチールサッシ
スチールネールファイル,steel nail file,スチールネールファイル
スチールファイル,steel file,スチールファイル
スチールラジアル,steel radial,スチールラジアル
スチューデントアパシー,student apathy,スチューデントアパシー
スチューデントパワー,student power,スチューデントパワー
スチュワーデス,stewardess,スチュワーデス
スチュワード,steward,スチュワード
スチレン,styrene,スチレン
スチレンペーパー,styrene paper,スチレンペーパー
スチロール,styrene,スチロール
スツール,stool,スツール
ステーキ,steak,ステーキ
ステーキ屋,steak house,ステーキや
ステーション,station,ステーション
ステーションワゴン,station wagon,ステーションワゴン
ステージ,stage,ステージ
ステータス,status,ステータス
ステータスシンボル,status symbol,ステータスシンボル
ステーツウーマン,stateswoman,ステーツウーマン
ステーツマン,statesman,ステーツマン
ステーツマンシップ,statesmanship,ステーツマンシップ
ステート,state,ステート
ステートアマ,state amateur (government-funded sportsperson in training),ステートアマ
ステートアマチュア,state amateur (government-funded sportsperson in training),ステートアマチュア
ステートメント,statement,ステートメント
ステートレス,stateless,ステートレス
ステープラー,stapler,ステープラー
スティック,stick,スティック
ステゴサウルス,Stegosaurus,ステゴサウルス
ステゴドン,Stegodon,ステゴドン
ステッカー,sticker,ステッカー
ステッキ,(walking) stick,ステッキ
ステックガール,thin girl,ステックガール
ステッチ,stitch,ステッチ
ステッピング,stepping,ステッピング
ステップ,"step (of a staircase, etc.)",ステップ
ステップス,steps,ステップス
ステップバイステップ,step-by-step,ステップバイステップ
ステップファミリー,stepfamily,ステップファミリー
ステップ応答,step response,ステップおうとう
ステップ関数,step function,ステップかんすう
ステディ,steady,ステディ
ステノグラファー,stenographer,ステノグラファー
ステルス,stealth,ステルス
ステレオ,stereo (sound),ステレオ
ステレオカメラ,stereo camera,ステレオカメラ
ステレオスコープ,stereoscope,ステレオスコープ
ステレオタイプ,stereotype,ステレオタイプ
ステレオテープ,stereotape,ステレオテープ
ステレオビジョン,stereovision,ステレオビジョン
ステレオフォニック,stereophonic,ステレオフォニック
ステレオレコード,stereo record,ステレオレコード
ステロイド,steroid,ステロイド
ステンドグラス,stained glass,ステンドグラス
ステンレス,stainless steel,ステンレス
ステンレススチール,stainless steel,ステンレススチール
スト,strike (i.e. industrial action),スト
ストーブ,(room) heater,ストーブ
ストーブリーグ,(hot) stove league,ストーブリーグ
ストーム,storm,ストーム
ストーリー,story,ストーリー
ストーリーテラー,story teller,ストーリーテラー
ストーリボード,storyboard,ストーリボード
ストール,stole (shawl),ストール
ストーンウォッシュ,stone wash,ストーンウォッシュ
ストーングラブ,stone crab,ストーングラブ
ストーンサークル,stone circle,ストーンサークル
ストーヴ,stove,ストーヴ
ストア,store,ストア
ストアコンセプト,store concept,ストアコンセプト
ストアブランド,store brand,ストアブランド
ストイチズム,Stoicism,ストイチズム
ストイック,stoic,ストイック
ストッカー,food display rack (often refrigerated),ストッカー
ストッキング,stockings,ストッキング
ストック,stock,ストック
ストックカー,stock car,ストックカー
ストックカーレース,stock car race,ストックカーレース
ストックコントロール,stock control,ストックコントロール
ストックブローカー,stockbroker,ストックブローカー
士篤恒,Stockholm (Sweden),ストックホルム
ストックホルム症候群,Stockholm syndrome,ストックホルムしょうこうぐん
ストックポイント,stock point,ストックポイント
ストッパー,stopper,ストッパー
ストップ,stop,ストップ
ストップウォッチ,stopwatch,ストップウォッチ
ストップビット,stop bit,ストップビット
ストップモーション,freeze frame,ストップモーション
ストップライト,stoplight,ストップライト
ストマイ,streptomycin,ストマイ
ストマック,stomach,ストマック
ストライカー,striker,ストライカー
ストライキ,strike (i.e. industrial action),ストライキ
ストライク,"strike (e.g. in baseball, bowling)",ストライク
ストライクゾーン,strike zone,ストライクゾーン
ストライド,stride,ストライド
ストライプ,stripe,ストライプ
ストラクチャ,structure,ストラクチャ
ストラップ,"strap (often decorative for key-holder, mobile phones, etc.)",ストラップ
ストラテジー,strategy,ストラテジー
ストリーカー,streaker,ストリーカー
ストリーキング,streaking (i.e. running naked in a public place),ストリーキング
ストリート,street,ストリート
ストリートウォーカー,streetwalker,ストリートウォーカー
ストリートエンゼル,street angel,ストリートエンゼル
ストリートカー,streetcar,ストリートカー
ストリートガール,street girl,ストリートガール
ストリーマー,tape streamer,ストリーマー
ストリーム,stream,ストリーム
ストリッパー,stripper,ストリッパー
ストリップ,strip show,ストリップ
ストリップガール,strip girl,ストリップガール
ストリップショー,strip show,ストリップショー
ストリップミル,strip mill,ストリップミル
ストリング,string,ストリング
ストリングス,strings,ストリングス
ストレート,straight,ストレート
ストレートコース,straight course,ストレートコース
ストレートパーマ,straight permanent wave,ストレートパーマ
ストレートパンチ,straight punch,ストレートパンチ
ストレス,stress,ストレス
ストレッチ,stretch,ストレッチ
ストレッチング,stretching,ストレッチング
ストレプトマイシン,streptomycin,ストレプトマイシン
ストレンジャー,stranger,ストレンジャー
ストロー,drinking straw,ストロー
ストローク,"stroke (of a racket, in swimming, etc.)",ストローク
ストロークプレー,stroke play,ストロークプレー
ストローハット,straw hat,ストローハット
ストローブ,strobe,ストローブ
ストロベリー,strawberry,ストロベリー
ストロボ,stroboscope,ストロボ
ストロボスコープ,stroboscope,ストロボスコープ
ストロンチウム,strontium (Sr),ストロンチウム
スナック,snack,スナック
スナックバー,snack bar (usu. an establishment that serves alcohol),スナックバー
スナッチ,snatch,スナッチ
スナップ,"snap (of the wrist; in baseball, golf, etc.)",スナップ
スナップショット,snapshot (photograph),スナップショット
スニーカー,sneaker,スニーカー
スニークプレビュー,sneak preview,スニークプレビュー
スヌーカー,snooker,スヌーカー
スネーク,snake,スネーク
スネークアウト,sneak out,スネークアウト
スネークイン,sneak in,スネークイン
スネークスキン,snakeskin,スネークスキン
スネークダンス,snake dance,スネークダンス
スノー,snow,スノー
スノーガン,snow gun,スノーガン
スノーサーフィン,snow surfing,スノーサーフィン
スノータイヤ,snow tire (tyre),スノータイヤ
スノーボート,(plastic) toboggan,スノーボート
スノーモービル,snowmobile,スノーモービル
スノッブ,snob,スノッブ
スノビズム,snobbism,スノビズム
スパーク,spark,スパーク
スパークリングワイン,sparkling wine,スパークリングワイン
スパチュラ,spatula,スパチュラ
スパート,spurt,スパート
スパームバンク,sperm bank,スパームバンク
スパーリング,sparring,スパーリング
スパーリングパートナー,sparring partner,スパーリングパートナー
スパイ,spy,スパイ
スパイカー,spiker (volleyball),スパイカー
スパイキーカット,spiky cut,スパイキーカット
スパイク,spike (on a shoe or tyre),スパイク
スパイクシューズ,spiked shoes,スパイクシューズ
スパイクタイヤ,studded snow tire (tyre),スパイクタイヤ
スパイクヒール,spike heel,スパイクヒール
スパイス,spice,スパイス
スパイダー,spider,スパイダー
スパイラル,spiral,スパイラル
スパイ行為,espionage,スパイこうい
スパゲッティウエスタン,spaghetti western (film),スパゲッティウエスタン
スパゲッティミートソース,spaghetti with meat sauce,スパゲッティミートソース
スパゲティ,spaghetti,スパゲティ
スパシーボ,thank you,スパシーボ
スパズム,spasm,スパズム
スパッタリング,ink spattering,スパッタリング
スパッツ,leggings (stretchy skin-tight trousers),スパッツ
スパット,spot,スパット
スパナ,spanner,スパナ
スパニッシュ,Spanish,スパニッシュ
スパニッシュアメリカ,Spanish America,スパニッシュアメリカ
スパルタキアード,Spartacus Games (Socialist Olympics),スパルタキアード
スパン,span,スパン
スパンオブコントロール,span of control,スパンオブコントロール
スパンコール,spangle,スパンコール
スピーカー,speaker,スピーカー
スピーカーユニット,speaker unit,スピーカーユニット
スピーチ,speech,スピーチ
スピーチセラピー,speech therapy,スピーチセラピー
スピーチセラピスト,speech therapist,スピーチセラピスト
スピーディー,speedy,スピーディー
スピード,speed,スピード
スピードアップ,speeding up,スピードアップ
スピードウェイ,speedway,スピードウェイ
スピードガン,speed-gun,スピードガン
スピードダウン,slowing down,スピードダウン
スピードボール,fastball,スピードボール
スピードメーター,speedometer,スピードメーター
スピードリミット,speed limit,スピードリミット
スピード線,speed lines,スピードせん
スピアフィッシング,spearfishing,スピアフィッシング
スピッツ,spitz (dog),スピッツ
スピットボール,spitball,スピットボール
スピニングリール,spinning reel,スピニングリール
スピリチュアリズム,spiritualism,スピリチュアリズム
スピリチュアル,spiritual,スピリチュアル
スピリッツ,spirits (distilled beverage),スピリッツ
スピリット,spirit,スピリット
スピルリナ,Spirulina (algae),スピルリナ
スピロヘータ,spirochaete,スピロヘータ
スピン,spin,スピン
スピンアウト,spin out,スピンアウト
スピングラス,spin-glass,スピングラス
スピンターン,handbrake turn,スピンターン
獅子女,sphinx,スフィンクス
スフレ,souffle,スフレ
スプートニク,Sputnik,スプートニク
スプーラ,spooler,スプーラ
スプール,spool,スプール
スプーン,spoon,スプーン
スプーンフィーディング,spoon-feeding,スプーンフィーディング
スプライス,splice,スプライス
スプライン,spline,スプライン
スプラッシャー,mudguard,スプラッシャー
スプリット,split,スプリット
スプリットフィンガーファーストボール,split fingered fast ball,スプリットフィンガーファーストボール
スプリットランテスト,split-run test,スプリットランテスト
スプリンクラー,sprinkler,スプリンクラー
スプリンクラー設備,sprinkler system,スプリンクラーせつび
スプリング,spring,スプリング
スプリングキャンプ,spring camp,スプリングキャンプ
スプリングコート,topcoat,スプリングコート
スプリングボード,springboard,スプリングボード
スプリンター,sprinter,スプリンター
スプリント,sprint,スプリント
スプレー,spray,スプレー
スプレーガン,spray gun,スプレーガン
スプレッド,spread,スプレッド
スプロール,sprawl,スプロール
スペーシング,spacing,スペーシング
スペース,"space (room, area, outer space)",スペース
スペースオペラ,space opera,スペースオペラ
スペースガン,space gun,スペースガン
スペースクラフト,spacecraft,スペースクラフト
スペースコロニー,space colony,スペースコロニー
スペースシップ,space ship,スペースシップ
スペースシャトル,space shuttle,スペースシャトル
スペーストラベル,space travel,スペーストラベル
スペースファンタジー,space fantasy,スペースファンタジー
スペースマン,spaceman,スペースマン
スペースラブ,Space Lab,スペースラブ
スペード,spades (suit),スペード
スペア,"spare (part, tire, etc.)",スペア
スペアシート,spare seat,スペアシート
スペアタイヤ,spare tire (tyre),スペアタイヤ
スペアリブ,spare rib,スペアリブ
スペイン語,Spanish (language),スペインご
スペキュレーション,speculation (e.g. in shares),スペキュレーション
スペキュレーター,speculator,スペキュレーター
スペクタクル,spectacle,スペクタクル
スペクトラム,spectrum,スペクトラム
スペクトル,"spectrum (radio, etc.)",スペクトル
スペクトログラフ,spectrograph,スペクトログラフ
スペクトログラム,spectrogram,スペクトログラム
スペシャリスト,specialist,スペシャリスト
スペシャル,special,スペシャル
スペシャルライセンスプレーヤー,special license player (licence),スペシャルライセンスプレーヤー
スペック,specifications,スペック
スペツナズ,special purpose (troops),スペツナズ
スペランカー,spelunker,スペランカー
スペリオリティーコンプレックス,superiority complex,スペリオリティーコンプレックス
スペリング,spelling,スペリング
スペル,spelling,スペル
スペルマ,sperm,スペルマ
スペンサージャケット,spencer jacket,スペンサージャケット
スポーク,spoke,スポーク
スポークスウーマン,spokeswoman,スポークスウーマン
スポークスパーソン,spokesperson,スポークスパーソン
スポークスマン,spokesman,スポークスマン
スポーツ,sport,スポーツ
スポーツイベント,sports event,スポーツイベント
スポーツウーマン,sportswoman,スポーツウーマン
スポーツウェア,sportswear,スポーツウェア
スポーツカー,sports car,スポーツカー
スポーツキャスター,sportscaster,スポーツキャスター
スポーツクラブ,gym,スポーツクラブ
スポーツシューズ,sports shoes,スポーツシューズ
スポーツセンター,sports center,スポーツセンター
スポーツテスト,sports test,スポーツテスト
スポーツトレーナー,sports trainer,スポーツトレーナー
スポーツドリンク,sports drink,スポーツドリンク
スポーツフェアー,sports fair,スポーツフェアー
スポーツプログラマー,sports programmer,スポーツプログラマー
スポーツマン,sportsman,スポーツマン
スポーツマンシップ,sportsmanship,スポーツマンシップ
スポーツライター,sportswriter,スポーツライター
スポーツ新聞,sports newspaper,スポーツしんぶん
スポーティ,"sporty (esp. garments, accessories, etc.)",スポーティ
スポイト,(bulb) syringe,スポイト
スポイル,spoil,スポイル
スポイルズシステム,spoils system,スポイルズシステム
スポット,spot,スポット
スポットアナウンス,spot announcement,スポットアナウンス
スポットキャンペーン,spot campaign,スポットキャンペーン
スポットコマーシャル,spot commercial,スポットコマーシャル
スポットチェック,spot check,スポットチェック
スポットニュース,spot news,スポットニュース
スポットライト,spotlight,スポットライト
スポンサー,sponsor,スポンサー
スポンサーシップマネー,sponsorship money,スポンサーシップマネー
スポンジ,sponge,スポンジ
スポンジケーキ,sponge cake,スポンジケーキ
スポンジラバー,sponge rubber,スポンジラバー
スポ根,fighting spirit (in sport),スポこん
スマート,"smart (clothing, etc.)",スマート
スマートビル,smart building,スマートビル
スマイル,smile,スマイル
スマック,chocolate-coated ice cream on a stick,スマック
スマッシュ,smash,スマッシュ
スミアー,smear,スミアー
スムージングオペレーション,smoothing operation,スムージングオペレーション
スムーズ,smooth,スムーズ
スメア,smear,スメア
スメロビジョン,smellovision,スメロビジョン
スモーカー,smoker,スモーカー
スモッグ,smog,スモッグ
スライス,slice,スライス
スライダー,slider,スライダー
スライディング,sliding,スライディング
スライド,slide (for projection),スライド
スラック,slack,スラック
スラックス,slacks,スラックス
スラッシュ,slash character (ASCII 057),スラッシュ
スラップスケート,slap skate,スラップスケート
スラリー,slurry,スラリー
スラローム,slalom,スラローム
スランプ,slump,スランプ
スリーサイズ,bust-waist-hip measurements,スリーサイズ
スリーピース,three-piece suit,スリーピース
スリーブ,sleeve,スリーブ
スリープ,sleep,スリープ
スリット,slit,スリット
